organization,repository,ecosystem,package,version_spec,license,source_file,lookup_error
vector-charts,vector-charts-example-apps,npm,@stripe/react-stripe-js,^2.4.0,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,@stripe/stripe-js,^2.2.0,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,@turf/turf,^7.2.0,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,axios,^0.21.1,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,classnames,^2.5.1,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,focus-visible,^5.2.0,W3C,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,framer-motion,^10.16.2,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,mapbox-gl,^3.4.0,SEE LICENSE IN LICENSE.txt,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,mapbox-gl-inspect,^1.3.1,BSD-3-Clause,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,moment,^2.29.4,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,moment-timezone,^0.5.43,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,normalize.css,^8.0.1,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,pmtiles,^3.0.5,BSD-3-Clause,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,query-string,^8.1.0,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,react,18.2.0,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,react-detect-click-outside,^1.1.7,ISC,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,react-dom,18.2.0,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,react-icons,^4.10.1,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,react-router-dom,^5.3.0,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,react-use,^17.4.0,Unlicense,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,uuid,^9.0.0,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,validator,^13.11.0,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,@vitejs/plugin-react,^4.0.4,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,cross-env,^7.0.3,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,eslint,^8.48.0,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,eslint-plugin-react,^7.33.2,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,sass,^1.66.1,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,vite,^4.4.9,MIT,example-2-mapbox/package.json,
vector-charts,vector-charts-example-apps,npm,leaflet,^1.9.4,BSD-2-Clause,example-3-leaflet-raster/package.json,
vector-charts,vector-charts-example-apps,npm,ol,^10.6.1,BSD-2-Clause,example-5-openlayers-raster/package.json,
vector-charts,vector-charts-example-apps,npm,@geoblocks/ol-maplibre-layer,^1.0.3,BSD-3-Clause,example-6-openlayers-vector/package.json,
vector-charts,vector-charts-example-apps,npm,ol-mapbox-style,^13.0.1,BSD-2-Clause,example-6-openlayers-vector/package.json,
vector-charts,vector-charts-example-apps,npm,maplibre-gl,^5.6.2,BSD-3-Clause,example-7-maplibre/package.json,
vector-charts,vector-charts-example-apps,npm,@maplibre/maplibre-gl-leaflet,^0.1.3,ISC,example-4-leaflet-vector/package.json,
vector-charts,vector-charts-oem,npm,@babel/preset-typescript,^7.26.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,@mapbox/sphericalmercator,1.2.0,unknown,services/backend/package.json,no_license_field
vector-charts,vector-charts-oem,npm,@mapbox/vector-tile,^2.0.3,BSD-3-Clause,services/backend/package.json,
vector-charts,vector-charts-oem,npm,@maplibre/maplibre-gl-native,^6.0.0,BSD-2-Clause,services/backend/package.json,
vector-charts,vector-charts-oem,npm,@sentry/node,^10.26.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,@turf/turf,^7.2.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,a-star,^0.2.0,BSD,services/backend/package.json,
vector-charts,vector-charts-oem,npm,acme-client,^5.3.1,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,async-mutex,^0.5.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,aws-sdk,^2.1311.0,Apache-2.0,services/backend/package.json,
vector-charts,vector-charts-oem,npm,axios,^1.7.2,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,bcryptjs,^2.4.3,BSD-3-Clause,services/backend/package.json,
vector-charts,vector-charts-oem,npm,compression,^1.7.4,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,config,^4.1.1,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,cors,^2.8.5,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,crypto,^1.0.1,ISC,services/backend/package.json,
vector-charts,vector-charts-oem,npm,csg2d,^0.1.2,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,escape-html,^1.0.3,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,express,^4.17.1,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,express-http-proxy,^1.6.3,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,express-rate-limit,^6.7.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,filesize,^11.0.13,BSD-3-Clause,services/backend/package.json,
vector-charts,vector-charts-oem,npm,geojson-vt,^4.0.2,ISC,services/backend/package.json,
vector-charts,vector-charts-oem,npm,global-mercator,^3.1.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,helmet,^4.6.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,http-status,^1.5.0,BSD-3-Clause,services/backend/package.json,
vector-charts,vector-charts-oem,npm,joi,^17.3.0,BSD-3-Clause,services/backend/package.json,
vector-charts,vector-charts-oem,npm,js-yaml,^4.1.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,jsonwebtoken,^8.5.1,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,lodash,^4.17.21,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,lru-cache,^11.2.2,BlueOak-1.0.0,services/backend/package.json,
vector-charts,vector-charts-oem,npm,module-alias,^2.2.2,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,moment,^2.29.1,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,morgan,^1.10.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,multer,^1.4.3,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,node-fetch,^2.6.1,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,node-os-utils,^1.3.5,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,nodemon,^2.0.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,nyc,^15.1.0,ISC,services/backend/package.json,
vector-charts,vector-charts-oem,npm,os-utils,^0.0.14,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,passport,^0.4.1,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,passport-custom,^1.1.1,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,passport-jwt,^4.0.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,passport-local,^1.0.0,unknown,services/backend/package.json,no_license_field
vector-charts,vector-charts-oem,npm,pbf,^4.0.1,BSD-3-Clause,services/backend/package.json,
vector-charts,vector-charts-oem,npm,pg,^8.16.3,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,pg-format,^1.0.4,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,pg-hstore,^2.3.4,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,pm2,^5.1.2,AGPL-3.0,services/backend/package.json,
vector-charts,vector-charts-oem,npm,postgres-migrations,^5.3.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,proj4,^2.12.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,querystring,^0.2.1,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,sequelize,^5.22.3,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,sharp,^0.33.5,Apache-2.0,services/backend/package.json,
vector-charts,vector-charts-oem,npm,stripe,^13.3.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,utm,^1.1.1,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,uuid,^8.3.2,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,validator,^13.6.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,vt-pbf,^3.1.3,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,websocket-stream,^5.5.2,BSD-2-Clause,services/backend/package.json,
vector-charts,vector-charts-oem,npm,winston,^3.3.3,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,wkx,^0.5.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,xss-clean,^0.1.1,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,yamljs,^0.3.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,@babel/cli,^7.14.8,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,@babel/core,^7.26.9,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,@babel/eslint-parser,^7.15.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,@babel/node,^7.26.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,@babel/preset-env,^7.15.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,@babel/register,^7.15.3,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,chai,^4.3.4,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,chai-arrays,^2.2.0,ISC,services/backend/package.json,
vector-charts,vector-charts-oem,npm,chai-as-promised,^7.1.1,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,cross-env,^7.0.3,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,eslint,^7.32.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,eslint-config-prettier,^8.1.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,eslint-plugin-mocha,^9.0.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,eslint-plugin-prefer-import,^0.0.1,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,eslint-plugin-prettier,^3.4.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,eslint-plugin-security,^1.4.0,Apache-2.0,services/backend/package.json,
vector-charts,vector-charts-oem,npm,eslint-plugin-simple-import-sort,^7.0.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,mocha,^9.1.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,node-mocks-http,^1.10.1,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,prettier,^2.3.2,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,sequelize-cli,^6.2.0,MIT,services/backend/package.json,
vector-charts,vector-charts-oem,npm,sinon,^11.1.2,BSD-3-Clause,services/backend/package.json,
vector-charts,vector-charts-oem,npm,supertest,^6.1.6,MIT,services/backend/package.json,
vector-charts,vector-charts-portal,npm,@blueprintjs/core,^5.3.0,Apache-2.0,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,@blueprintjs/icons,^5.1.6,Apache-2.0,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,@chakra-ui/icons,2.1.0,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,@chakra-ui/react,2.8.0,MIT,services/frontend/package.json,
vector-charts,vector-charts-portal,npm,@chakra-ui/system,2.6.0,MIT,services/frontend/package.json,
